fundID INTEGER primary key IDENTITY(1,1),projectID INTEGER references projects on delete cascade,agencyAcr VARCHAR(256),cost FLOAT
1,1,SpaceX,50,
2,2,CASC,29.75,
3,4,Roscosmos,65,
4,5,ULA,145,
5,6,CASC,64.68,
6,7,Roscosmos,48.5,
7,9,SpaceX,50,
8,10,JAXA,90,
9,11,Northrop,46,
10,12,ExPace,28.3,
11,13,CASC,29.15,
12,15,CASC,29.75,
13,16,Rocket Lab,7.5,
14,17,CASC,64.68,
15,18,SpaceX,50,
16,19,CASC,29.15,
17,20,CASC,29.75,
18,21,SpaceX,50,
19,22,Rocket Lab,7.5,
20,23,CASC,30.8,
21,24,SpaceX,50,
22,25,CASC,29.75,
23,26,SpaceX,50,
24,27,CASC,5,
25,28,Virgin Orbit,12,
26,30,MHI,112.5,
27,31,ULA,120,
28,34,Roscosmos,48.5,
29,35,SpaceX,50,
30,37,CASC,29.15,
31,38,Roscosmos,48.5,
32,39,ULA,153,
33,40,CASC,30.8,
34,41,Arianespace,48.5,
35,42,SpaceX,50,
36,45,CASC,29.15,
37,46,SpaceX,50,
38,47,VKS RF,48.5,
39,48,CASC,29.75,
40,49,Arianespace,200,
41,50,SpaceX,50,
42,51,Northrop,85,
43,52,ULA,115,
44,54,MHI,90,
45,55,Arianespace,48.5,
46,56,Rocket Lab,7.5,
47,57,SpaceX,50,
48,58,SpaceX,50,
49,59,Arianespace,200,
50,61,CASC,29.75,
51,62,CASC,29.15,
52,63,SpaceX,50,
53,65,VKS RF,41.8,
54,66,Roscosmos,65,
55,68,CASC,64.68,
56,70,SpaceX,50,
57,73,ISRO,21,
58,74,VKS RF,48.5,
59,77,Roscosmos,48.5,
60,78,Rocket Lab,7.5,
61,79,SpaceX,50,
62,80,CASC,64.68,
63,81,ISRO,31,
64,82,Arianespace,200,
65,88,SpaceX,50,
66,89,CASC,29.15,
67,90,CASC,64.68,
68,91,Northrop,85,
69,93,CASC,29.15,
70,94,Rocket Lab,7.5,
71,95,Northrop,40,
72,96,ILS,65,
73,97,CASC,64.68,
74,98,VKS RF,48.5,
75,100,CASC,29.75,
76,101,MHI,112.5,
77,103,CASC,10,
78,104,CASC,64.68,
79,106,VKS RF,41.8,
80,108,ULA,164,
81,109,Roscosmos,48.5,
82,110,Rocket Lab,7.5,
83,111,CASC,29.15,
84,112,CASC,7.5,
85,113,ULA,153,
86,114,SpaceX,50,
87,115,Arianespace,200,
88,116,Roscosmos,65,
89,117,Roscosmos,48.5,
90,118,VKS RF,48.5,
91,119,CASC,30.8,
92,120,SpaceX,50,
93,122,ISRO,62,
94,124,Roscosmos,65,
95,125,Arianespace,37,
96,129,Rocket Lab,15.5,
97,130,SpaceX,90,
98,131,CASC,29.15,
99,132,Arianespace,200,
100,133,SpaceX,50,
101,134,CASC,7.3,
102,135,Roscosmos,65,
103,137,SpaceX,50,
104,138,CASC,64.68,
105,139,ISRO,21,
106,141,Rocket Lab,7.5,
107,142,SpaceX,50,
108,144,CASC,64.68,
109,145,CASC,29.15,
110,146,Northrop,85,
111,147,SpaceX,90,
112,149,Roscosmos,48.5,
113,150,ISRO,21,
114,151,CASC,29.15,
115,152,Rocket Lab,7.5,
116,154,Arianespace,37,
117,157,CASC,29.15,
118,159,SpaceX,50,
119,161,SpaceX,50,
120,163,Arianespace,200,
121,167,CASC,10.3,
122,168,ULA,350,
123,169,JAXA,39,
124,171,SpaceX,50,
125,172,CASC,29.15,
126,174,Roscosmos,48.5,
127,176,SpaceX,50,
128,177,CASC,10.3,
129,178,VKS RF,65,
130,180,ISRO,47,
131,181,Rocket Lab,7.5,
132,182,CASC,29.15,
133,183,CASC,29.75,
134,184,SpaceX,50,
135,185,Arianespace,200,
136,186,SpaceX,50,
137,188,VKS RF,41.8,
138,189,ISRO,21,
139,190,Arianespace,37,
140,191,CASC,29.75,
141,193,Northrop,85,
142,195,SpaceX,50,
143,196,ISRO,62,
144,197,Rocket Lab,7.5,
145,199,VKS RF,4.5,
146,200,CASC,29.15,
147,201,MHI,90,
148,202,CASC,30.8,
149,204,Roscosmos,35,
150,205,CASC,64.68,
151,206,Arianespace,200,
152,207,ULA,153,
153,210,CASC,30.8,
154,211,SpaceX,50,
155,213,Arianespace,200,
156,214,MHI,112.5,
157,216,ISRO,21,
158,218,SpaceX,50,
159,219,CASC,30.8,
160,222,Arianespace,37,
161,223,ULA,350,
162,224,SpaceX,50,
163,225,CASC,64.68,
164,227,SpaceX,50,
165,229,SpaceX,50,
166,231,Roscosmos,48.5,
167,232,CASC,69.7,
168,233,CASC,30.8,
169,234,SpaceX,62,
170,235,CASC,30.8,
171,237,MHI,90,
172,239,CASC,69.7,
173,240,SpaceX,62,
174,241,CASC,29.75,
175,242,SpaceX,62,
176,243,Northrop,85,
177,244,CASC,64.68,
178,245,SpaceX,50,
179,246,CASC,64.68,
180,247,ULA,109,
181,248,CASC,29.15,
182,250,CASC,15,
183,251,Eurockot,41.8,
184,252,SpaceX,62,
185,253,VKS RF,65,
186,254,ULA,153,
187,255,ISRO,31,
188,256,CASC,64.68,
189,257,Arianespace,200,
190,258,SpaceX,62,
191,259,CASC,64.68,
192,260,SpaceX,62,
193,263,ISRO,47,
194,265,CASC,29.75,
195,267,SpaceX,62,
