projectID INT,launchMonth VARCHAR(256),flightYear INT,launchLocation VARCHAR(256),countryName VARCHAR(256),missionStatus VARCHAR(256)
1,Aug,2020,LC-39A Kennedy Space Center Florida,USA,Success
2,Aug,2020,Site 9401 (SLS-2) Jiuquan Satellite Launch Center,China,Success
3,Aug,2020,Pad A Boca Chica Texas,USA,Success
4,Jul,2020,Site 200/39 Baikonur Cosmodrome,Kazakhstan,Success
5,Jul,2020,SLC-41 Cape Canaveral AFS Florida,USA,Success
6,Jul,2020,LC-9 Taiyuan Satellite Launch Center,China,Success
7,Jul,2020,Site 31/6 Baikonur Cosmodrome,Kazakhstan,Success
8,Jul,2020,LC-101 Wenchang Satellite Launch Center,China,Success
9,Jul,2020,SLC-40 Cape Canaveral AFS Florida,USA,Success
10,Jul,2020,LA-Y1 Tanegashima Space Center,Japan,Success
11,Jul,2020,LP-0B Wallops Flight Facility Virginia,USA,Success
12,Jul,2020,Site 95 Jiuquan Satellite Launch Center,China,Failure
13,Jul,2020,LC-3 Xichang Satellite Launch Center,China,Success
14,Jul,2020,Pad 1 Palmachim Airbase,Israel,Success
15,Jul,2020,Site 9401 (SLS-2) Jiuquan Satellite Launch Center,China,Success
16,Jul,2020,Rocket Lab LC-1A M?Âhia Peninsula,New Zealand,Failure
17,Jul,2020,LC-9 Taiyuan Satellite Launch Center,China,Success
18,Jun,2020,SLC-40 Cape Canaveral AFS Florida,USA,Success
19,Jun,2020,LC-2 Xichang Satellite Launch Center,China,Success
20,Jun,2020,Site 9401 (SLS-2) Jiuquan Satellite Launch Center,China,Success
21,Jun,2020,SLC-40 Cape Canaveral AFS Florida,USA,Success
22,Jun,2020,Rocket Lab LC-1A M?Âhia Peninsula,New Zealand,Success
23,Jun,2020,LC-9 Taiyuan Satellite Launch Center,China,Success
24,Jun,2020,SLC-40 Cape Canaveral AFS Florida,USA,Success
25,May,2020,Site 9401 (SLS-2) Jiuquan Satellite Launch Center,China,Success
26,May,2020,LC-39A Kennedy Space Center Florida,USA,Success
27,May,2020,Xichang Satellite Launch Center,China,Success
28,May,2020,Cosmic Girl Mojave Air and Space Port California,USA,Failure
29,May,2020,Site 43/4 Plesetsk Cosmodrome,Russia,Success
30,May,2020,LA-Y2 Tanegashima Space Center,Japan,Success
31,May,2020,SLC-41 Cape Canaveral AFS Florida,USA,Success
32,May,2020,Site 95 Jiuquan Satellite Launch Center,China,Success
33,May,2020,LC-101 Wenchang Satellite Launch Center,China,Success
34,Apr,2020,Site 31/6 Baikonur Cosmodrome,Kazakhstan,Success
35,Apr,2020,LC-39A Kennedy Space Center Florida,USA,Success
36,Apr,2020,Launch Plateform,Shahrud Missile Test Site,Success
37,Apr,2020,LC-2 Xichang Satellite Launch Center,China,Failure
38,Apr,2020,Site 31/6 Baikonur Cosmodrome,Kazakhstan,Success
39,Mar,2020,SLC-41 Cape Canaveral AFS Florida,USA,Success
40,Mar,2020,LC-3 Xichang Satellite Launch Center,China,Success
41,Mar,2020,Site 31/6 Baikonur Cosmodrome,Kazakhstan,Success
42,Mar,2020,LC-39A Kennedy Space Center Florida,USA,Success
43,Mar,2020,Site 43/4 Plesetsk Cosmodrome,Russia,Success
44,Mar,2020,LC-201 Wenchang Satellite Launch Center,China,Failure
45,Mar,2020,LC-2 Xichang Satellite Launch Center,China,Success
46,Mar,2020,SLC-40 Cape Canaveral AFS Florida,USA,Success
47,Feb,2020,Site 43/3 Plesetsk Cosmodrome,Russia,Success
48,Feb,2020,LC-3 Xichang Satellite Launch Center,China,Success
49,Feb,2020,ELA-3 Guiana Space Centre French Guiana,France,Success
50,Feb,2020,SLC-40 Cape Canaveral AFS Florida,USA,Success
51,Feb,2020,LP-0A Wallops Flight Facility Virginia,USA,Success
52,Feb,2020,SLC-41 Cape Canaveral AFS Florida,USA,Success
53,Feb,2020,Imam Khomeini Spaceport Semnan Space Center,Iran,Failure
54,Feb,2020,LA-Y1 Tanegashima Space Center,Japan,Success
55,Feb,2020,Site 31/6 Baikonur Cosmodrome,Kazakhstan,Success
56,Jan,2020,Rocket Lab LC-1A M?Âhia Peninsula,New Zealand,Success
57,Jan,2020,SLC-40 Cape Canaveral AFS Florida,USA,Success
