spacecraftName VARCHAR(256) primary key,missionType VARCHAR(256)
Ofeq 1,Photo Surveillance
Ofeq 10,Surveillance
Ofeq 2,Photo Surveillance
Ofeq 3,Photo Surveillance
Ofeq 4 / EROS A,Photo Surveillance
Ofeq 6,Photo Surveillance
Ofeq 7 (OFEK 7),Photo Surveillance
Ofeq-5,Photo Surveillance
Ofeq-9,Surveillance
$50SAT,Amateur/Student
3CS-1 / Sparky,Technology
3CS-2 / Ralphie,Technology
A-1 / Asterix,Technology
A-302 / SPP 28,Science & Technology
AAP-1 / GE 1A,Communications
AAU-CubeSat,Technology
AAUSAT 3,Amateur/Student
AAUSAT-II,Amateur/StudentÊ(Science & Technology)
Able 1 / Pioneer 0,Planetary ExplorationÊ(1st)
Able 2 / Poneer 1,Planetary ExplorationÊ(Moon)
Able 3 / Pioneer 3,Planetary ExplorationÊ(Moon)
ABRIXAS,Astronomy
ABS-2,Communications
AC-2 / Atlas-Centaur 2,Technology
AC-3 / Atlas-Centaur 3,Technology
AC-5 / Atlas-Centaur 5 (SD-1),Technology
ACE,Astronomy
ACRIMSAT,Sun studies
ACTS,Communications
ADEOS / Midori,Earth sciences
ADEOS-2 / Midori 2,Earth remote sensing
Advanced Crystal /Ê,Photo Surveillance
Advanced ORION 1 (USA 110),Electronic intelligence
Advanced ORION 2 (USA 139),Missile early warning
Advanced ORION 3 USA 171),Electronic intelligence
AEHF 2 (USA 235),Communications
AEHF 3 (USA 246),Communications
AEHF SV-1 (USA 214),Communications
Aeneas,Science & Technology
Aerocube 2 (Object S),Technology
Aerocube 3,Technology
Aerocube 5A,Technology
Aerocube 5b,Technology
Aerocube 6A,Technology
Aerocube 6B,Technology
AeroCube-1,Amateur Technology
Aerocube-4,Technology
Aerocube-4.5A,Technology
Aerocube-4.5B,Technology
Aeros 1 / GRS-B,Earth/Space Science
Aeros 2,Earth/Space Science
Afristar,Communications
Agena Pickaback,Electronic Intelligence
Agila 2 / Mabuhay,Communications
AGILE,Astronomy
AIM,Earth/Space Science
AISat 1,Technology
AISSat 2,Technology
AISSAT-1 / NLS-6.1,Student
Aist 1,Technology
AIST-2,Amateur/Student
Alexander / PhoneSat v2,Technology
Alexis,Astronomy
ALICE,Science & Technology
All-Star,Amateur/Student
Almasat-1,Amateur/Student
Almaz 1,Radar reconnaissance
ALOS / Daichi,Earth Remote Sensing
ALOS 2 / Daichi 2,Earth Remote Sensing
Alouette 1,Earth/Space Science
Alouette 2,Earth/Space Science
Alphasat I / Inmarsat-4A F4,Communications
Alsat 2A,Earth Remote Sensing
AlSAT-1 / DMC,Earth imaging
Amazonas 1,CommunicationsÊ
Amazonas 2,Communications
Amazonas 3,Communications
Amazonas-4A,Communications
AMC 15 / AMERICOM 15,Communications (DBS)
AMC 16,Communications (DBS)
AMC 18,Communications
AMC 21,Communications
AMC-10 / Americom 10,Communications (DBS)
AMC-11 / Americom 11,Communications (DBS)
AMC-12 / AMERICOM 12 / Worldsat 2,Communications
AMC-14,Communications
AMC-23 / AMERICOM-23,Communications
AMC-9 / Americom-9,Communications
Americom 1 (AMC 1 / GE 1),Communications
Americom 2 / GE-2,Communications
Americom 3 / GE 3,Communications
AMOS 1,Communications
Amos 3,Communications
AMOS 4,Communications
Amos 5,Communications
AMOS-2,Communications
AMPTE 1 / AMPTE-CCE,Earth/Space Sciance
AMPTE 2 / AMPTE-IRM,Earth/Space Sciance
AMPTE 3 / AMPTE-UKS,Earth/Space Sciance
AMS 2 / Block 5D #2,Meteorology
AMS 3 / Block 5D #3,Meteorology
AMS 4 / Block 5D #4,Meteorology
AMS 5 / Block 5D F5,Meteorology
AMS 5 / Block 5D-2 F-6,Meteorology
AMS-02,Astronomy
AMSAT-Echo,CommunicationsÊ
AMSAT-OSCAR 10,Radio-Amateur
AMSAT-OSCAR 13,Radio-Amateur
AMSAT-OSCAR 40 (AO-40) / P3D,Communications
AMSAT-OSCAR 6,Radio-Amateur
AMSAT-OSCAR 7,Radio-Amateur
AMSAT-OSCAR 8,Radio-Amateur
AMSAT-Phase 3a,Radio-Amateur
AMSC 1 / MSat,Communications
AMT 1 / DMSP 5D F-1,Meteorology
ANDE Active (Castor),Science & Technology
ANDE Passive (Pollux),Science & YTechnology
ANDE-FCAL,Science & Technology
ANDE-MAA,Science & Technology
Anik 3 / Telesat C,Communications
Anik B / Telesat 4,Communications
Anik C-1 / Telesat,Communications
Anik C-2 / Telesat 7,Communications
Anik C-3 / Telesat 6,Communications
Anik D-1 / Telesat 5,Communications
Anik D-2 / TelesatÊ,Communications
Anik E-2 / Telesat,Communications
Anik E1 / Telesat,Communications
Anik F-1,Communications
Anik F1R,Communications
Anik F2,CommunicationsÊ
Anik F3,Communications
Anik G1,Communications
ANNA 1A,Science & Technology
ANNA 1B,Science & Technology
ANS 1,Astronomy
ANTELSAT,StudentÊ(Technology)
Anusat,Technology
APEX / Orion 38,Technology
APL SN 39,Science & Technology
Apollo 1 (Apollo 204),Piloted Spaceship
Apollo 10 Charlie Brown,Piloted Spaceship
Apollo 10 Snoopy,Piloted Spaceship
Apollo 11 Columbia,Piloted Spaceship
