spacecraftUsedID INTEGER,projectID INTEGER ,launcherName VARCHAR(256),spacecraftName VARCHAR(256)
1,1,Falcon 9 Block 5 ,Starlink V1 L9 
2,2,Long March 2D ,Gaofen-9 04 
3,3,Starship Prototype ,150 Meter Hop
4,4,Proton-M/Briz-M ,Ekspress-80 
5,5,Atlas V 541 ,Perseverance
6,6,Long March 4B ,Ziyuan-3 03
7,7,Soyuz 2.1a ,Progress MS-15
8,8,Long March 5 ,Tianwen-1
9,9,Falcon 9 Block 5 ,ANASIS-II
10,10,H-IIA 202 ,Hope Mars Mission
11,11,Minotaur IV ,NROL-129
12,12,Kuaizhou 11 ,Jilin-1 02E
13,13,Long March 3B/E ,Apstar-6D
14,14,Shavit-2 ,Ofek-16
15,15,Long March 2D ,Shiyan-6 02
16,16,Electron/Curie ,Pics Or It Didn??Â¦t Happen
17,17,Long March 4B ,Gaofen Duomo 
18,18,Falcon 9 Block 5 ,GPS III SV03
19,19,Long March 3B/E ,Beidou-3 G3
20,20,Long March 2D ,Gaofen-9 03
21,21,Falcon 9 Block 5 ,Starlink V1 L8 
22,22,Electron/Curie ,Don't stop me now!
23,23,Long March 2C ,Haiyang-1D
24,24,Falcon 9 Block 5 ,Starlink V1 L7
25,25,Long March 2D ,Gaofen-9-02 
26,26,Falcon 9 Block 5 ,SpaceX Demo-2
27,27,Long March 11 ,XJS-G and XJS-H
28,28,LauncherOne ,Demo Flight
29,29,Soyuz 2.1b/Fregat-M ,Cosmos 2546
30,30,H-IIB ,HTV-9
31,31,Atlas V 501 ,OTV-6 (USSF-7)
32,32,Kuaizhou 1A ,Xingyun-2 01 (Wuhan) 
33,33,Long March 5B ,Test Flight (New Crew Capsule)
34,34,Soyuz 2.1a ,Progress MS-14
35,35,Falcon 9 Block 5 ,Starlink V1 L6
36,36,Qased ,Noor 1
37,37,Long March 3B/E ,Nusantara Dua
38,38,Soyuz 2.1a ,Soyuz MS-16
39,39,Atlas V 551 ,AEHF 6
40,40,Long March 2C ,Yaogan-30-06
41,41,Soyuz 2.1b/Fregat ,OneWeb #3
42,42,Falcon 9 Block 5 ,Starlink V1 L5
43,43,Soyuz 2.1b/Fregat-M ,Cosmos 2545
44,44,Long March 7A ,XJY-6
45,45,Long March 3B/E ,Beidou-3 G2
46,46,Falcon 9 Block 5 ,CRS-20
47,47,Soyuz 2.1a/Fregat-M ,Meridian-M nâ€ Â­19L
48,48,Long March 2D ,XJS-C to F
49,49,Ariane 5 ECA ,JCSAT-17 
50,50,Falcon 9 Block 5 ,Starlink V1 L4
51,51,Antares 230+ ,CRS NG-13
52,52,Atlas V 411 ,Solar Orbiter
53,53,Simorgh ,Zafar 1
54,54,H-IIA 202 ,IGS-Optical 7
55,55,Soyuz 2.1b/Fregat ,OneWeb #2
56,56,Electron/Curie ,Birds of a Feather / NROL-151
57,57,Falcon 9 Block 5 ,Starlink V1 L3
58,58,Falcon 9 Block 5 ,Crew Dragon Inflight Abort Test
59,59,Ariane 5 ECA ,Eutelsat Konnect BB4A 
60,60,Kuaizhou 1A ,Yinhe-1
61,61,Long March 2D ,Jilin-1 Wideband 01 
62,62,Long March 3B/E ,TJSW-5
63,63,Falcon 9 Block 5 ,Starlink V1 L2
64,64,Long March 5 ,Shijian-20
65,65,Rokot/Briz KM ,Gonets-M24
66,66,Proton-M/DM-3 ,Elektro-L nâ€ Â­3
67,67,Atlas V N22 ,Starliner OFT
68,68,Long March 4B ,CBERS-4A
69,69,Soyuz ST-A/Fregat-M ,CSG-1
70,70,Falcon 9 Block 5 ,JCSAT-18 / Kacific-1
71,71,Long March 3B/YZ-1 ,BeiDou-3 M19 
72,72,New Shepard ,NS-12
73,73,PSLV-QL ,RISAT 2BR1
74,74,Soyuz 2.1b/Fregat ,Cosmos 2544
75,75,Kuaizhou 1A ,HEAD-2A/B / SpaceTY 16/17 / Tianqi 4A/B
76,76,Kuaizhou 1A ,Jilin-1 Gaofen-02B
77,77,Soyuz 2.1a ,Progress MS-13 (74P)
78,78,Electron/Curie ,Running Out Of Fingers
79,79,Falcon 9 Block 5 ,CRS-19
80,80,Long March 4C ,Gaofen-12
81,81,PSLV-XL ,Cartosat-3 
82,82,Ariane 5 ECA ,Inmarsat 5 F5 
83,83,Soyuz 2.1v/Volga ,Cosmos 2542 
84,84,Long March 3B/YZ-1 ,BeiDou-3 M21 
85,85,Kuaizhou 1A ,KL-Alpha A
86,86,Long March 6 ,Ningxia-1 (x5)
87,87,Kuaizhou 1A ,Jilin 1-02A
88,88,Falcon 9 Block 5 ,Starlink V1 L1
89,89,Long March 3B/E ,Beidou-3 IGSO-3
90,90,Long March 4B ,Gaofen-7
91,91,Antares 230+ ,CRS NG-12
92,92,SARGE ,Launch 4
93,93,Long March 3B/E ,TJSW-4
94,94,Electron/Curie ,As The Crow Flies
95,95,Pegasus XL ,ICON
96,96,Proton-M/Briz-M ,Eutelsat 5 West B 
97,97,Long March 4C ,Gaofen 10 (Replacement)
98,98,Soyuz 2.1b/Fregat ,Cosmos 2541
99,99,Soyuz FG ,Soyuz MS-15 (61S)
100,100,Long March 2D ,Yunhai-1-02
101,101,H-IIB ,HTV-8
102,102,Long March 3B/YZ-1 ,BeiDou-3 M23 
103,103,Long March 11 ,Zhuhai-1 Group 03
104,104,Long March 4B ,Ziyuan-2D
105,105,Kuaizhou 1A ,KX-09 
106,106,Rokot/Briz KM ,Cosmos 2540
107,107,Safir-1B+ ,Nahid-1
108,108,Delta IV Medium+ (42) ,GPS III SV02
109,109,Soyuz 2.1a ,Soyuz MS-14 (60S)
110,110,Electron/Curie ,Look Ma
111,111,Long March 3B/E ,ChinaSat 18
112,112,Jielong-1 ,Tianqi-4 
113,113,Atlas V 551 ,AEHF 5
114,114,Falcon 9 Block 5 ,AMOS-17
115,115,Ariane 5 ECA ,EDRS-C/HYLAS 3 
116,116,Proton-M/Briz-M ,Cosmos 2539
117,117,Soyuz 2.1a ,Progress MS-12
118,118,Soyuz 2.1a/Fregat-M ,Meridian-M nâ€ Â­18L
119,119,Long March 2C ,Yaogan-30-05
120,120,Falcon 9 Block 5 ,CRS-18
121,121,Hyperbola-1 ,CAS-7B 
122,122,GSLV Mk III ,Chandrayaan-2 lunar mission
123,123,Soyuz FG ,Soyuz MS-13 (59S)
124,124,Proton-M/DM-3 ,Spektr-RG
125,125,Vega ,Falcon Eye 1
126,126,Soyuz 2.1v/Volga ,Cosmos 2535 to 2538
127,127,Soyuz 2.1b/Fregat-M ,Meteor-M No.2-2
128,128,SARGE ,Launch 3
129,129,Electron/Curie ,Make it Rain
130,130,Falcon Heavy ,STP-2
131,131,Long March 3B/E ,Beidou-3 IGSO-2
132,132,Ariane 5 ECA ,Eutelsat 7C 
133,133,Falcon 9 Block 5 ,RADARSAT Constellation
134,134,Long March 11H ,Jilin-1 
135,135,Proton-M/Briz-M ,Yamal-601
136,136,Soyuz 2.1b/Fregat-M ,Cosmos 2534
137,137,Falcon 9 Block 5 ,Starlink V0.9
138,138,Long March 4C ,Yaogan Weixing-33
139,139,PSLV-CA ,RISAT-2B
140,140,Long March 3C/E ,Beidou-2 G8
141,141,Electron/Curie ,That's a Funny Looking Cactus
142,142,Falcon 9 Block 5 ,CRS-17
143,143,New Shepard ,NS-11
144,144,Long March 4B ,Tianhui-2 Group 01
145,145,Long March 3B/E ,Beidou-3 IGSO-1
146,146,Antares 230 ,CRS NG-11
147,147,Falcon Heavy ,ArabSat 6A
148,148,Soyuz ST-B/Fregat-MT ,O3b FM17-FM20
149,149,Soyuz 2.1a ,Progress MS-11 (72P)
150,150,PSLV-QL ,EMISAT 
151,151,Long March 3B/E ,Tianlian-2
152,152,Electron/Curie ,Two Thumbs Up
153,153,OS-M1 ,Lingque-1B
154,154,Vega ,PRISMA
155,155,Delta IV Medium+ (54) ,WGS-10
156,156,Soyuz FG ,Soyuz MS-12 (58S)
157,157,Long March 3B/E ,Zhongxing-6C
158,158,SARGE ,Launch 2
159,159,Falcon 9 Block 5 ,SpaceX Demo-1
160,160,Soyuz ST-B/Fregat-M ,OneWeb #1
161,161,Falcon 9 Block 5 ,Nusantara Satu 
162,162,Soyuz 2.1b/Fregat-M ,EgyptSat-A
163,163,Ariane 5 ECA ,GSAT-31 
164,164,Safir-1B+ ,Dousti
165,165,PSLV-DL ,Microsat-R
166,166,New Shepard ,NS-10
167,167,Long March 11 ,Jilin-1 Hyperspectral 
168,168,Delta IV Heavy ,NROL-71
169,169,Epsilon PBS ,Innovative Satellite Technology Demonstration-1
170,170,Simorgh ,Payam-e Amirkabir
171,171,Falcon 9 Block 5 ,Iridium-8
172,172,Long March 3B/E ,Zhongxing-2D (Chinasat-2D)
173,173,Long March 2D/YZ-3 ,Hongyan-1
174,174,Soyuz 2.1a/Fregat ,Kanopus-V No. 5-6 
175,175,Long March 3C/E ,TJS-3
176,176,Falcon 9 Block 5 ,GPS III SV01
177,177,Long March 11 ,Hongyun-1
178,178,Proton-M/Briz-M ,Blagovest No.13L
179,179,Soyuz ST-A/Fregat-M ,CSO 1
180,180,GSLV Mk II ,GSAT-7A
181,181,Electron/Curie ,This one's for Pickering
182,182,Long March 3B/E ,Chang'e-4
183,183,Long March 2D ,SaudiSAT 5A
184,184,Falcon 9 Block 5 ,CRS-16
185,185,Ariane 5 ECA ,GSAT-11 
186,186,Falcon 9 Block 5 ,Spaceflight SSO-A
187,187,Soyuz FG ,Soyuz MS-11 (57S)
188,188,Rokot/Briz KM ,Cosmos 2530 to 2532
189,189,PSLV-CA ,HySIS
190,190,Vega ,Mohammed VI-B
191,191,Long March 2D ,Shiyan-6
192,192,Long March 3B/YZ-1 ,BeiDou-3 M17 
193,193,Antares 230 ,CRS NG-10
194,194,Soyuz FG ,Progress MS-10 (71P)
195,195,Falcon 9 Block 5 ,Es'hail 2
196,196,GSLV Mk III ,GSAT 29
197,197,Electron/Curie ,It's Business Time
198,198,Soyuz ST-B/Fregat-M ,MetOp C
199,199,Soyuz 2.1b/Fregat ,GLONASS-M No.54S
200,200,Long March 3B/E ,Beidou-3 G1
201,201,H-IIA 202 ,Ibuki 2
202,202,Long March 2C ,CFOSAT
203,203,ZhuQue-1 ,CCTV Future-1
204,204,Soyuz 2.1b ,Lotus-S No.4
205,205,Long March 4B ,Haiyang-2B
206,206,Ariane 5 ECA ,BepiColombo
207,207,Atlas V 551 ,AEHF-4
208,208,Long March 3B/YZ-1 ,BeiDou-3 M15 
209,209,Soyuz FG ,Soyuz MS-10 (56S)
210,210,Long March 2C ,Yaogan-32 Group 01
211,211,Falcon 9 Block 5 ,SAOCOM 1A
212,212,Kuaizhou 1A ,CentiSpace-1 S1
213,213,Ariane 5 ECA ,Horizons-3e 
214,214,H-IIB ,HTV-7
215,215,Long March 3B/YZ-1 ,BeiDou-3 M13 
216,216,PSLV-CA ,SSTL-1 
217,217,Delta II 7420-10C ,ICESat-2
